Clothing ID,Age,Review Text,Rating,Department Name
1103,47,"I love, love this dress except for the armpits. if they had just made the armpits a normal round shape with normal openings, the dress would have been perfection. so audrey hepburn!! but i had to say no. i really wish they would redo this dress with normal arm openings. i think it would sell like crazy.",4,Dresses
909,31,"I wanted this sweater to work but sadly it failed. first, the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.",2,Tops
872,35,Oh my! i love this tee. it is super soft. i love how it doesn't look like a sack with no shape. i can't wait to get more colors. i am tall plus have a long torso and it still is long enough for me so this is definitely a win!,5,Tops
701,32,I love the style of this swimsuit on the model. when i purchased is i didn't realize that there was no support (wire/ padding/ lining) in the chest. the rest of the swimsuit was great but i did not like the look in the chest - it provided no support. i ended up returning it.,3,Intimate
1078,61,"Was super excited to try this on, but had to go up 3 sizes from my normal 6 and the waist was still too tight - i was swimming in the top as well. just a very strange cut and unflattering. such a bummer because it's so pretty.",2,Dresses
1094,23,"Size 8 always, 36c and i have broad shoulders...i found this true to size. the colors pop more and there is a cleavage alert, just letting you girls know. this is very figure flattering, especially with my body frame, it accentuates the right spots.",5,Dresses
1098,37,"I love the style of this dress, comfortable but chic, and it feels great!",5,Dresses
1092,37,This is perfect! it fits tts. i am usually an 8 and this was spot on. it isn't too short either. it really is as it appears on the model. i absolutely love it and can't wait to wear it. my hubby definitely approved!,5,Dresses
1046,41,"A culotte and basketball short hybrid. these culottes are heaven....very comfortable. the are great on windy summer days or walking around the city (between the buildings are like wind tunnels). the waist does run alittle large...i have a 29-30in waist and the medium petite fit my lower waist, but is large on my natural waist...a small petite would be better, so size down one size on the waist. plus the waist band is stretchy, so there is a lot of forgiveness in sizing down. plus the petite's le",5,Bottoms
861,34,Love the color and the design. it is slightly see-through which i don't like but it still works wotb a nude bra. very comfortable!,5,Tops
834,32,"The fit was fine, but the fabric (the beige option) was bland. it washed me out. granted, i'm fair skinned, but it reminded me of sour milk. it's getting returned.",3,Tops
